created_date,borough,channel,complaint_type,response_time_days
2024-12-02,Brooklyn,Web,Noise,10.66
2024-08-06,Queens,App,Street Condition,1.88
2024-03-01,Queens,Web,Noise,4.21
2024-02-26,Brooklyn,Phone,Noise,6.45
2024-04-13,Queens,Phone,Rodents,4.85
2024-07-29,Queens,Phone,Noise,9.68
2024-02-26,Queens,App,Noise,7.7
2024-06-15,Queens,Phone,Noise,1.78
2024-02-12,Staten Island,Web,Noise,2.96
2024-07-16,Brooklyn,App,Illegal Parking,10.63
2024-01-08,Brooklyn,App,Plumbing,13.91
2024-09-15,Manhattan,Phone,Plumbing,4.0
2024-01-21,Bronx,Phone,Illegal Parking,18.56
2024-03-12,Queens,Phone,Noise,5.05
2024-03-04,Brooklyn,Phone,Plumbing,2.47
2024-10-30,Manhattan,Phone,Noise,5.25
2024-01-20,Bronx,Web,Illegal Parking,38.24
2024-06-05,Brooklyn,App,Street Condition,1.66
2024-08-03,Queens,Web,Rodents,12.44
2024-07-07,Manhattan,Web,Heat/Hot Water,5.04
2024-09-05,Staten Island,Phone,Illegal Parking,2.81
2024-10-20,Manhattan,Web,Street Condition,0.44
2024-05-23,Manhattan,Web,Illegal Parking,0.25
2024-10-29,Bronx,App,Rodents,4.26
2024-04-26,Bronx,App,Plumbing,8.93
2024-12-25,Manhattan,Web,Street Condition,6.22
2024-07-03,Brooklyn,Phone,Street Condition,11.75
2024-09-25,Queens,Phone,Plumbing,5.74
2024-11-15,Bronx,Web,Street Condition,7.42
2024-10-16,Brooklyn,App,Heat/Hot Water,4.13
2024-11-06,Brooklyn,Web,Street Condition,7.38
2024-07-14,Queens,Web,Noise,2.61
2024-01-16,Queens,Web,Heat/Hot Water,1.49
2024-06-28,Bronx,Phone,Street Condition,7.09
2024-03-07,Queens,Web,Plumbing,8.1
2024-11-20,Manhattan,Web,Plumbing,0.86
2024-03-27,Bronx,Web,Heat/Hot Water,4.26
2024-03-24,Bronx,Web,Street Condition,6.88
2024-04-01,Bronx,Phone,Noise,6.77
2024-08-22,Manhattan,Web,Plumbing,4.94
2024-07-27,Manhattan,Phone,Heat/Hot Water,10.97
2024-12-12,Queens,App,Plumbing,0.35
2024-05-31,Manhattan,Phone,Rodents,11.3
2024-04-13,Staten Island,Phone,Plumbing,15.97
2024-01-18,Brooklyn,Web,Heat/Hot Water,10.22
2024-01-03,Queens,Web,Rodents,5.42
2024-05-16,Bronx,Web,Plumbing,3.86
2024-12-03,Brooklyn,Web,Illegal Parking,10.13
2024-07-10,Brooklyn,App,Rodents,6.67
2024-11-22,Queens,Web,Rodents,3.56
2024-02-07,Queens,Web,Noise,8.42
2024-02-04,Brooklyn,Web,Rodents,11.17
2024-10-31,Queens,Phone,Plumbing,11.72
2024-02-08,Staten Island,Web,Heat/Hot Water,2.62
2024-01-19,Brooklyn,Phone,Heat/Hot Water,12.65
2024-05-27,Manhattan,Web,Plumbing,2.63
2024-12-03,Brooklyn,Phone,Heat/Hot Water,6.42
2024-09-08,Brooklyn,App,Street Condition,7.38
2024-02-06,Manhattan,Web,Plumbing,7.35
2024-11-01,Manhattan,App,Illegal Parking,5.69
2024-11-03,Queens,Web,Rodents,3.51
2024-10-19,Brooklyn,Phone,Noise,0.49
2024-11-25,Staten Island,Web,Heat/Hot Water,7.36
2024-03-28,Brooklyn,Web,Rodents,6.23
2024-12-23,Manhattan,Web,Illegal Parking,1.02
2024-04-27,Queens,Web,Heat/Hot Water,5.75
2024-10-19,Bronx,Web,Heat/Hot Water,6.82
2024-07-30,Brooklyn,App,Street Condition,13.74
2024-10-11,Manhattan,Web,Illegal Parking,11.81
2024-08-17,Manhattan,Web,Heat/Hot Water,6.75
2024-08-22,Queens,Web,Illegal Parking,4.48
